SiteID,BRLat,BRLong,StreamName,Program
FW08AR111,35.27595613,-92.19925139,NA,EPA
FW08AR114,34.675951,-92.66396251,NA,EPA
FW08AR142,34.37706817,-93.20282683,NA,EPA
FW08AR147,34.92202722,-92.953152,NA,EPA
FW08MT047,48.457665,-109.9263753,NA,EPA
FW08OK007,35.53755037,-96.31584045,NA,EPA
FW08OK010,36.03834837,-99.9304572,NA,EPA
FW08OK012,35.69013981,-95.16558574,NA,EPA
FW08OK023,35.74930919,-97.13433409,NA,EPA
FW08OK044,34.92254042,-99.11120133,NA,EPA
FW08OK060,35.54538909,-99.72270535,NA,EPA
FW08OK061,35.96545355,-96.36807122,NA,EPA
FW08OK080,34.34591923,-96.69947948,NA,EPA
FW08OK002,35.80398666,-96.4833534,NA,EPA
FW08WY005,44.30321955,-106.938932,NA,EPA
FW08WY022,43.41402294,-106.2859761,NA,EPA
FW08WY041,44.15839041,-106.9120158,NA,EPA
